"Authors","Author full names","Author(s) ID","Title","Year","Source title","DOI","Link","Abstract"
"Tay R.","Tay, Richard (7004482591)","7004482591","Speed cameras:improving safety or raising revenue?","2010","Journal of Transport Economics and Policy","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952680773&partnerID=40&md5=5c2a4ee15b68cdcf9e56d7efd63719bc","Despite numerous studies showing the effectiveness of speed enforcement, especially automated speed enforcement, in reducing crashes, public debate still continues in regard to the revenue-raising aspect of speed enforcement. Using speed camera enforcement data from the City of Edmonton, this study found that catching offenders had a significant effect in reducing injury crashes that was beyond the deterrent effect provided by the presence of police on the roads alone. The apprehension of offenders is therefore a key component needed to maximise the effectiveness of the speed camera programme and not solely as a means to raise revenue."
"Raghavan A.; Liu J.; Saha B.; Price R.","Raghavan, Ajay (57213956796); Liu, Juan (55705815100); Saha, Bhaskar (35765685300); Price, Robert (57198067194)","57213956796; 55705815100; 35765685300; 57198067194","Reference image-independent fault detection in transportation camera systems for nighttime scenes","2012","IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC","10.1109/ITSC.2012.6338742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871243228&doi=10.1109%2fITSC.2012.6338742&partnerID=40&md5=b8305e60b6236060716ae5e662c2b127","Automated, unattended camera systems used for various transportation applications such as toll collection and photo enforcement need to capture high quality images in a variety of outdoor scenarios. In particular, they need to remain functional in low ambient illumination conditions (nighttime and cloudy day situations) to enable identification of objects or persons involved in incidents being monitored or extracting relevant information. Over time, for installed camera systems in the field, several problems can develop, such as external flash unit failures, focus drifts, and exposure issues. Thus, it is important to periodically monitor the nighttime images/videos taken by the camera system to ensure nominal functionality. However, due to constantly changing scene elements, it is not practical to compare a historical reference image with an identical scene against current camera output to detect problems. To address this, we present image quality metrics that can be extracted without a nominal reference image and can be used to characterize these problems. These can be incorporated into algorithms that can enable automated camera diagnostics for intelligent transportation systems. © 2012 IEEE."
"García J.A.; Sabido R.; Barbado D.; Moreno F.J.","García, Juan Antonio (55684862600); Sabido, Rafael (57226231360); Barbado, David (55629640900); Moreno, Francisco Javier (25228166700)","55684862600; 57226231360; 55629640900; 25228166700","Analysis of the relation between throwing speed and throwing accuracy in team-handball according to instruction","2013","European Journal of Sport Science","10.1080/17461391.2011.606835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875335733&doi=10.1080%2f17461391.2011.606835&partnerID=40&md5=dd75cbdc3c72c2f9431014f6a55682cc","This study examines the differences between expert and novice team-handball players in their sensitivity to instructions that emphasize speed or precision requirements. The effects of instructions on throwing speed and accuracy of a handball over arm throw and the speed-accuracy trade-off in experts and novices is revisited. An expert group (n=18) with a training experience of more than 10 years, and a novice group (n=24) without experience in team-handball, took part in the study. The participants were asked to throw to targets located at different positions following instructions emphasizing accuracy and instructions emphasizing accuracy and speed. Throwing speed was measured with a speed gun radar, and the centre of the ball when the ball entered the goal was digitalized for accuracy. Under these experimental conditions, the novice group was sensitive to instructions for reducing throwing speed and increasing accuracy when instructions emphasized accuracy. The expert group increased throwing speed when the instructions emphasized speed, but was not less accurate. The results indicate that it is advisable for experts' speed to be close to maximum speed since it does not seem to have a significant effect on accuracy of the throw. © 2013 Copyright European College of Sport Science."
"Ebot Eno Akpa N.A.; Thinus Booysen M.J.; Sinclair M.","Ebot Eno Akpa, N.A. (57188928863); Thinus Booysen, M.J. (51664541800); Sinclair, M. (55839955500)","57188928863; 51664541800; 55839955500","Efficacy of interventions and incentives to achieve speed compliance in the informal public transport sector","2015","Proceedings - 2015 IEEE Symposium Series on Computational Intelligence, SSCI 2015","10.1109/SSCI.2015.15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964941385&doi=10.1109%2fSSCI.2015.15&partnerID=40&md5=c3a993674c9e77165949c53f481f9530","The informal public transport industry in South Africa, primarily dominated by minibus taxis is noted for poor compliance and disregard towards posted speed limits. They go as far as driving over the differentiated speed limit of the lighter passenger vehicles used for private transport. This paper compares and evaluates improvements in their speed compliance using two renowned interventions: Automated Average Speed Enforcement (ASE), and auditory Intelligent Speed Adaptation (ISA). It also investigates the impact of each intervention on fuel consumption to provide an additional incentive to the most efficient intervention. The main finding was that for minibus taxis, ASE needs ISA as a supplementary intervention. It was discovered that the drivers showed little or no behavioural change while driving on the ASE route, while the introduction of the ISA system resulted in significant changes bringing violation frequencies down to 47.4% from 81.2% on the enforcement route. These behavioural changes also resulted in lower fuel consumption rates especially while the ISA system was active. However fuel economy did not seem to work as a self-regulatory incentive for speed compliance. © 2015 IEEE."
"Chiu K.-L.; Lin C.-C.; Gupta S.D.; Chan C.-Y.","Chiu, Kuan-Lin (23007564600); Lin, Chih-Che (55730220500); Gupta, Somak Datta (55495182300); Chan, Ching-Yao (7404814589)","23007564600; 55730220500; 55495182300; 7404814589","A traffic speed enforcement system for high speed environment based on Dedicated Short-Range Communications (DSRC) technology","2013","IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC","10.1109/ITSC.2013.6728409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894292222&doi=10.1109%2fITSC.2013.6728409&partnerID=40&md5=9d19e6385154687f9b39d6da2d187f42","The IEEE 1609 and 802.11p protocol family (also known as WAVE/DSRC or DSRC network) developed by IEEE are key wireless technologies for time-critical safety message broadcast in Vehicular Ad Hoc Networks (VANETs). The WAVE/DSRC network removes the layer-2 association procedure and thus greatly differs from traditional WiFi technologies. With this capability, critical information can be sent within a very short period, making it suitable for realizing Vehicle-to-Vehicle (V2V) safety applications and Roadside-to-Vehicle (R2V) Intelligent Transportation System (ITS) applications. In a recent project, the WAVE/DSRC technology has been studied for the use of speed enforcement system. This paper presents a case study of integrating the state-of-the-art WAVE/DSRC technology into a new-type of speed enforcement system called the Augmented Speed Enforcement (aSE) system. The design, the architecture, and the details of field tests in Los Banos, California, will be discussed. In addition, experimental results regarding the DSRC and 3G radio performance in the field will be analyzed in this paper. © 2013 IEEE."
"Vermote L.; Van Malderen F.; Macharis C.; Putman K.","Vermote, L. (35243991100); Van Malderen, F. (55279788200); Macharis, C. (6507193118); Putman, K. (16064244300)","35243991100; 55279788200; 6507193118; 16064244300","Assessing speed enforcement policy measures by analyzing multi sustainability criteria","2011","WIT Transactions on the Built Environment","10.2495/UT110581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875043374&doi=10.2495%2fUT110581&partnerID=40&md5=e0b3d3a6ef139cda10670d80ca637d37","Sustainability assessment is generally used to identify the unsustainable effects of policy measures, such as sustainable transport policy strategies. Still, sustainability effects of road traffic safety policy measures are insufficiently studied. This paper will assess the sustainability of speed enforcement policy measures on highways. A multicriteria evaluation framework, containing social, economic and environmental assessment criteria, evaluates different speed enforcement policy alternatives. The framework determines how the policy alternatives meet the criteria, ranking the policy alternatives according to their sustainability. Results show that intelligent speed enforcement strategies are more sustainable than automatic and manned speed enforcement strategies. Multicriteria analyses have proved to be very useful for assessing sustainability. They provide compromise solutions for conflicting objectives. © 2011 WIT Press."
"Sreeraj P.; Kannan T.","Sreeraj, P. (57217363152); Kannan, T. (13607233800)","57217363152; 13607233800","Modelling and prediction of stainless steel clad bead geometry deposited by GMAW using regression and artificial neural network models","2012","Advances in Mechanical Engineering","10.1155/2012/237379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866170621&doi=10.1155%2f2012%2f237379&partnerID=40&md5=6c224b2b1dd76ed8bf06238874eb1ecf","To improve the corrosion-resistant properties of carbon steel, usually cladding process is used. It is a process of depositing a thick layer of corrosion-resistant material over carbon steel plate. Most of the engineering applications require high strength and corrosion resistant materials for long-term reliability and performance. Cladding these properties can be achieved with minimum cost. The main problem faced in cladding is the selection of optimum combinations of process parameters for achieving quality clad and hence good clad bead geometry. This paper highlights an experimental study to predict various input process parameters (welding current, welding speed, gun angle, contact tip-to-work distance, and pinch) to get optimum dilution in stainless steel cladding of low carbon structural steel plates using Gas Metal Arc Welding (GMAW). Experiments were conducted based on central composite rotatable design with full replication technique, and mathematical models were developed using multiple regression method. The developed models have been checked for adequacy and significance. Using Artificial Neural Network (ANN) the parameters were predicted, and percentage of error was calculated between predicted and actual values. The direct and interaction effects of process parameters on clad bead geometry are presented in graphical form. © 2012 P. Sreeraj and T. Kannan."
"Elvik R.","Elvik, Rune (7005655759)","7005655759","Developing an accident modification function for speed enforcement","2011","Safety Science","10.1016/j.ssci.2011.02.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955653547&doi=10.1016%2fj.ssci.2011.02.016&partnerID=40&md5=99c28b6167e471a0bd887060d382da74","This paper presents an accident modification function for speed enforcement. The function describes the percentage effect of enforcement on the number of injury accidents as a function of the relative change in the amount of enforcement. Thirteen studies that have evaluated the effects of different levels of enforcement, each containing between four and eight data points, were used as data source. A hypothesis regarding the shape of an accident modification function was formulated to help assess the plausibility of the estimated relationships. In the first stage of analysis, functions were fitted to the data points of each study by means of weighted regression analysis. Many of these functions were highly implausible and likely to be influenced by outlying data points and random variation. In the second stage of analysis, data from all studies except two were pooled and data points referring to identical or almost identical levels of enforcement were aggregated to reduce the influence of random variation. The number of data points was thus reduced from 63 to 15 and an accident modification function was fitted to the data points. The function was consistent with the hypothesis guiding the study. © 2011 Elsevier Ltd."
"Hamelin F.","Hamelin, FABRICE (26655605500)","26655605500","Renewal of public policy via instrumental innovation: Implementing automated speed enforcement in France","2010","Governance","10.1111/j.1468-0491.2010.01492.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955048626&doi=10.1111%2fj.1468-0491.2010.01492.x&partnerID=40&md5=4a1520fc06941e639f1cecbdee0b8ba1","This article examines the renewal of public policy via instrumental innovation since the adoption in France of an automated sequence of detection and sanctioning of speed limit violations. Involved here is an instrument of public policy that points up the changes that have taken place in recent years in respect of road safety policy and provides a clearer view of some aspects of ongoing state reorganization. The change in public policy permitted by this instrumentation results from an increasingly close focus on the road hazard issue, which has allowed specialists from different epistemic fields to advocate a system used in other countries for over a decade now. However, this success with policymakers is also explained by the fact that the new system involves the return of the state as the core shaper of this public policy, after 20 years of emphasis on local and partnership-based policies. © 2010 Wiley Periodicals, Inc."
"Fries R.N.; Gahrooei M.R.; Chowdhury M.; Conway A.J.","Fries, Ryan N. (22950362000); Gahrooei, Mostafa Reisi (36924794000); Chowdhury, Mashrur (22949941100); Conway, Alison J. (25960573000)","22950362000; 36924794000; 22949941100; 25960573000","Meeting privacy challenges while advancing intelligent transportation systems","2012","Transportation Research Part C: Emerging Technologies","10.1016/j.trc.2012.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863729586&doi=10.1016%2fj.trc.2012.04.002&partnerID=40&md5=bf6fa60e855f62a19c2969d9d35dc03b","As transportation engineers and practitioners continue to advance the scope and breadth of intelligent transportation systems (ITS) applications, privacy is a primary concern of transportation agencies in the United States (US) when tracking people, vehicles and goods within the nation's transportation grid. As a number of technologies have rapidly advanced, including photo enforcement, electronic tolling, vehicle-mile taxing, weigh-in-motion, and Connected Vehicle technologies, research examining the privacy implications of system applications has lagged. In a recent national survey to determine how state departments of transportation (DOTs) are meeting the privacy needs of the traveling public, it was determined that DOTs favor aggregating and masking data for protecting privacy of motorists while collecting travel times and speeds. For capturing video surveillance, abiding by legislation or agency policies was the preferred method of protecting privacy. Unfortunately, there are no national standards in the US for the privacy protection of travelers as most privacy information merely takes the form of poorly defined precepts. With the increasing use of ITS applications, which are becoming more interwoven into the US transportation grid, there is a need to develop a national policy and related standards to ensure the privacy protection of the traveling public to ensure broader acceptance of ITS applications. The findings presented in this paper aim to provide direction on how to address the current and future privacy challenges that face the transportation industry. © 2012 Elsevier Ltd."
"Broggi A.; Cerri P.; Grisleri P.","Broggi, Alberto (7006027684); Cerri, Pietro (6603191255); Grisleri, Paolo (8948057000)","7006027684; 6603191255; 8948057000","Maritime traffic speed enforcement","2012","IEEE Intelligent Transportation Systems Magazine","10.1109/MITS.2011.2178770","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858671496&doi=10.1109%2fMITS.2011.2178770&partnerID=40&md5=ba3b76056362968749040534d3b246d8","This paper describes a speed warning system for boats moving on a wide water surface using a single grayscale camera. Boats are detected, their speed estimated, and statistics are also computed. The approach is based on an enhanced background subtraction technique combined with classification and tracking to improve robustness; it provides a stable detection even with sea waves and strong light reflections and it is robust to tides which in Venice can reach high variations. The method returns correct speed values within the range ±5% in the 97% of use cases. This system has been in operation for 3 years on the Burano island in Venice, monitoring a 250 m wide channel slice. The estimated speed is shown to the boats thanks to a digital display. Processing results can also be accessed remotely for monitoring purposes via web and even on mobile devices. Another system has been installed in Venice at the end of 2009 while a third is operative in Murano since early 2010. © 2011 IEEE."
"Collins G.; Hurt S.","Collins, Geoff (57198283891); Hurt, Sonya (56428791800)","57198283891; 56428791800","A detailed review of the A614 average speed enforcement system","2014","IET Conference Publications","10.1049/cp.2014.0815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912126679&doi=10.1049%2fcp.2014.0815&partnerID=40&md5=a852fe8415c2836447bdda101227d62e","A SPECS average speed camera scheme installed in 2012 is delivering real benefits to the A614 in Nottinghamshire. This paper examines in detail the changes that have been seen on that road, with a review of the factors that have resulted in the roads improved safety. Headline results: since installation, there have been no fatalities; the KSI figure has dropped by 54%; through casualty savings the scheme has 'paid' for itself in six months of operation, covering both installation and five years of operation."
"Du L.; Sun Q.; Cai C.; Zhang Y.; Hu H.","Du, Lei (55334702300); Sun, Qiao (36646558500); Cai, Changqing (25630579900); Zhang, Yue (25631331600); Hu, Hongbo (57005784700)","55334702300; 36646558500; 25630579900; 25631331600; 57005784700","Verification methods and antenna horizontal beamwidth of across-the-road radar for traffic speed enforcement in China","2013","Measurement: Journal of the International Measurement Confederation","10.1016/j.measurement.2012.11.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873049488&doi=10.1016%2fj.measurement.2012.11.023&partnerID=40&md5=074497549e38131e3034b1ec8d612f71","Across-The-Road (ATR) radar is the most common type of traffic speed measurement devices used in China for traffic law enforcement. Its speed measurement accuracy is highly concerned by drivers, lawyers, policemen and metrologists as well. Among those influence factors, antenna horizontal beamwidth is an important one, which has not been taken into account in the current verification regulation of ATR radar in China. In this paper, the current verification methods of ATR radar in China are firstly introduced, and the reason for the field measurement error of ATR radar is analyzed. The speed measurement error of ATR radar related to antenna horizontal beamwidth is investigated in details, and theoretically calculated in various combinations of installation angles and horizontal beamwidths. Field tests with three equal-distanced piezo sensors each lane as triggering reference have also been performed on two ATR radar samples with horizontal beamwidth 5° and 10° respectively. The results of theoretical analysis and field tests verify that antenna horizontal beamwidth smaller than 6° is a precondition for accurate and reliable field measurements, which has also been added to the newly published pattern approval regulation of ATR radar in China."
"Montella A.; Punzo V.; Chiaradonna S.; Mauriello F.; Montanino M.","Montella, Alfonso (7003798000); Punzo, Vincenzo (12807108200); Chiaradonna, Salvatore (55944581400); Mauriello, Filomena (35788435500); Montanino, Marcello (8709730900)","7003798000; 12807108200; 55944581400; 35788435500; 8709730900","Point-to-point speed enforcement systems: Speed limits design criteria and analysis of drivers' compliance","2015","Transportation Research Part C: Emerging Technologies","10.1016/j.trc.2015.01.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922777601&doi=10.1016%2fj.trc.2015.01.025&partnerID=40&md5=053d4cf46a5589d0690ab07a5249c1e4","Point-to-point (P2P) speed enforcement is a relatively new approach to traffic law enforcement. Its technology allows vehicles whose average speed exceeds the speed limit over the controlled section to be fined. It therefore encourages compliance over distances longer than those where spot enforcement policies have been in place.In this paper, a procedure for consistently setting speed limits with such enforcement systems is proposed. Such a method has been applied to design the speed limits on two motorways in the district of Naples, Italy, where P2P enforcement systems became operational in 2009 and 2010. The speed limits, which were set using the Italian geometric design standard to assess vehicle stability and stopping sight distance, have been compared with those provided by using well-known international standards.The impact of the newly designed speed limits and of the P2P enforcement system on drivers' speeding behaviour has been quantified for each highway section and vehicle type. In fact, accurate measurements of the average travel speeds of each vehicle crossing the enforced sections, before and after the activation of the system, were available. The migration from the old speed limits with spot speed enforcement to the new approach resulted in a notable increase in drivers' compliance to the speed limits with a remarkable decrease in both the average of individual speeds and in their standard deviation.In addition, the analysis of 3. years of data shows that a gradual adaptation of drivers' behaviour to the system took place. In particular, a decreasing compliance to the speed limits points to a non-optimal system management. Finally, the results of a revealed preference survey allowed us to make a behavioural interpretation regarding the significantly different impacts measured on the two motorways. © 2015 Elsevier Ltd."
"Porter B.E.; Johnson K.L.; Bland J.F.","Porter, Bryan E. (7201565342); Johnson, Kristie L. (58433327800); Bland, Johnnie F. (55365881500)","7201565342; 58433327800; 55365881500","Turning off the cameras: Red light running characteristics and rates after photo enforcement legislation expired","2013","Accident Analysis and Prevention","10.1016/j.aap.2012.08.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870302317&doi=10.1016%2fj.aap.2012.08.017&partnerID=40&md5=f4b8e0d3ece4d3adc9848133d43f377d","In 2005 the Virginia legislature allowed the law permitting automated enforcement for red light running violations to expire. An opportunity presented itself to evaluate what would happen to red light running behavior at formerly enforced locations. Using intersections previously studied to document one city's deployment and use of photo enforcement (see Martinez and Porter, 2006), we mobilized multiple pre-expiration, immediate post-expiration, and one year post-expiration observations at camera-enforced intersections as well as two control groups consisting of same-city and a different city's non-camera locations. More than 2700 direct observations were made in these time periods, documenting the near-immediate increase in red light running at previously camera-enforced intersections. These intersections had a rate that nearly tripled immediately after the law expired, and more than quadrupled one year later. Further, within a year of the law's expiration, the low red light running rates at the previous-camera locations had recidivated to red light running rates of the control locations. Driver characteristics were not significant predictors of these rates once intersection group and traffic volume (and their interaction) were controlled, meaning red light running in this study was not linked to a particular driver type. Our results are important for scholars of intersection safety, as this is the first known peer-reviewed study documenting estimates of what could happen when automated enforcement is removed. © 2012 Elsevier Ltd."
"Wang T.-X.; Lu M.; Pan S.-H.; Zhang J.; Bo Y.-M.","Wang, Tian-Xiong (55599873600); Lu, Ming (56390811100); Pan, Sheng-Han (55212957600); Zhang, Jie (55949808200); Bo, Yu-Ming (55630842200)","55599873600; 56390811100; 55212957600; 55949808200; 55630842200","Analysis of complex firing gate based on theory of random cut-through","2012","Binggong Xuebao/Acta Armamentarii","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874008609&partnerID=40&md5=9e3611956b218db9c5f916f96453c3e3","The time-based distribution of vibration angular velocity of a barrel excited by the road irregularity, etc. and the relationship between it and angular error process of the barrel were analyzed in the context of high-speed gun firing on the move. A method to derive the angular velocity process of barrel was proposed based on mean square derivative, and the random cut-through characteristics of location-speed complex firing gate was analyzed. The simulation results show that complex firing gate, compared to simple firing gate, has the better indicators of random cut-through characteristics."
"Montella A.; Imbriani L.L.; Marzano V.; Mauriello F.","Montella, Alfonso (7003798000); Imbriani, Lella Liana (55428554300); Marzano, Vittorio (22938200400); Mauriello, Filomena (35788435500)","7003798000; 55428554300; 22938200400; 35788435500","Effects on speed and safety of point-to-point speed enforcement systems: Evaluation on the urban motorway A56 Tangenziale di Napoli","2015","Accident Analysis and Prevention","10.1016/j.aap.2014.11.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918523943&doi=10.1016%2fj.aap.2014.11.022&partnerID=40&md5=5133bc523cc66f638340eeb12e629bb9","In this paper, we evaluated the effects on speed and safety of the point-to-point (P2P) speed enforcement system activated on the urban motorway A56 in Italy. The P2P speed enforcement is a relatively new approach to traffic law enforcement that involves the calculation of the average speed over a section. To evaluate the speed effects, we performed a before-after analysis of speed data investigating also effects on non-compliance to speed limits. To evaluate the safety effects, we carried out an empirical Bayes observational before-and-after study. The P2P system led to very positive effects on both speed and safety. As far as the effects on the section average travel speeds, the system yielded to a reduction in the mean speed, the 85th percentile speed, the standard deviation of speed, and the proportion of drivers exceeding the speed limits, exceeding the speed limits more than 10 km/h, and exceeding the speed limits more than 20 km/h. The best results were the decrease of the speed variability and the reduction of the excessive speeding behaviour. The decrease in the standard deviation of speed was 26% while the proportion of light and heavy vehicles exceeding the speed limits more than 20 km/h was reduced respectively by 84 and 77%. As far as the safety effects, the P2P system yielded to a 32% reduction in the total crashes, with a lower 95% confidence limit of the estimate equal to 22%. The greatest crash reductions were in rainy weather (57%), on wet pavement (51%), on curves (49%), for single vehicle crashes (44%), and for injury crashes (37%). It is noteworthy that the system produced a statistically significant reduction of 21% in total crashes also in the part of the motorway where it was not activated, thus generating a significant spillover effect. The investigation of the effects of the P2P system on speed and safety over time allowed to develop crash modification functions where the relationship between crash modification factors and speed parameters (mean speed, 85th percentile speed, and standard deviation of speed) was expressed by a power function. Crash modification functions show that the effect of speed on safety is greater on curves and for injury crashes. Even though the study results show excellent outcomes, we must point out that the crash reduction effects decreased over time and speed, speed variability, and non-compliance to speed limits significantly increased over time. To maintain its effectiveness over time, P2P speed enforcement must be actively managed, i.e. constantly monitored and supported by appropriate sanctions. © 2014 Elsevier Ltd. All rights reserved."
"Hajbabaie A.; Ramezani H.; Benekohal R.F.","Hajbabaie, Ali (56586380300); Ramezani, Hani (37049302900); Benekohal, Rahim F. (35564532100)","56586380300; 37049302900; 35564532100","Speed photo enforcement effects on headways in work zones","2011","T and DI Congress 2011: Integrated Transportation and Development for a Better Tomorrow - Proceedings of the 1st Congress of the Transportation and Development Institute of ASCE","10.1061/41167(398)117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955383453&doi=10.1061%2f41167%28398%29117&partnerID=40&md5=c5d8c2659997254d03190ac7cb540913","Determining the effects of Speed Photo-radar Enforcement (SPE) on headways of vehicles traveling in a work zone is important since maintaining a larger headway provides drivers with a longer time to avoid a potential rear-end collision. In addition, when the headway between two vehicles is less than the follower's reaction time, a rear end collision is likely to happen if the leader suddenly decreases its speed. In this paper, the effects of the SPE on the headway of vehicles traveling along a work zone are studied. For this purpose, we collected data from two locations that were around 1.5 miles apart in a work zone on interstate highway 55 at. The SPE van was present at the upstream location. The headway of all vehicles within a period of 45 minutes was measured at the upstream location as well as the downstream location. The results of this study showed that the presence of the SPE did not reduce the headway of the traffic stream at the location that it was present, as well as at the downstream location. This was confirmed by comparing the headway of followers (headway less than four seconds) when the SPE was deployed in the work zone to the headway of them when the SPE was not present, for both lanes combined, and for the shoulder and median lanes separately. The same result was observed for different pairs of leaders and followers. In addition, our analysis showed that the SPE prevented a reduction in the headway of car-car pairs traveling on the median lane at the downstream location. © 2011 ASCE."
"Bhalla K.; Paichadze N.; Gupta S.; Kliavin V.; Gritsenko E.; Bishai D.; Hyder A.A.","Bhalla, Kavi (7101784214); Paichadze, Nino (57193573851); Gupta, Shivam (57209786263); Kliavin, Vladimir (55990538600); Gritsenko, Elena (55991491100); Bishai, David (7004085097); Hyder, Adnan A. (7005465166)","7101784214; 57193573851; 57209786263; 55990538600; 55991491100; 7004085097; 7005465166","Rapid assessment of road safety policy change: Relaxation of the national speed enforcement law in Russia leads to large increases in the prevalence of speeding","2015","Injury Prevention","10.1136/injuryprev-2014-041189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921850648&doi=10.1136%2finjuryprev-2014-041189&partnerID=40&md5=9e0647aad7be6b3dfd788750172de3e9","Reducing vehicle speed is among the most effective road safety strategies. We assess how a new policy in Russia that eliminates fines for driving up to 20 km/h above the speed limit has affected the prevalence of speeding. We measured speeds periodically in 13 districts of two Russian regions during 2011–2013 and analysed the effect of the policy using difference-in-differences to control for seasonality. We find that the prevalence of speeding was declining steadily but half of the gains since mid-2011 were lost immediately after the new policy. Overall speeding increased significantly by 13 percentage points (pp, 95% CI 4 to 19). Speeding more than 10 km/h above the limit increased significantly by 10 pp (95% CI 2 to 12), and extreme speeding increased but not significantly (1.7 pp, 95% CI −1.1 to 4.5). Road traffic injuries will likely increase in Russia unless speeding fines are reinstated. © 2015, BMJ Publishing Group. All rights reserved."
"Bhalla K.; Li Q.; Duan L.; Wang Y.; Bishai D.; Hyder A.A.","Bhalla, Kavi (7101784214); Li, Qingfeng (55703474700); Duan, Leilen (55991045200); Wang, Yuan (58396869100); Bishai, David (7004085097); Hyder, Adnan A. (7005465166)","7101784214; 55703474700; 55991045200; 58396869100; 7004085097; 7005465166","The prevalence of speeding and drink driving in two cities in China: A mid project evaluation of ongoing road safety interventions","2013","Injury","10.1016/S0020-1383(13)70213-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891772688&doi=10.1016%2fS0020-1383%2813%2970213-4&partnerID=40&md5=a45014e7cbaa4f58c00734313138e04b","Road traffic crashes in China kill in excess of 250,000 people annually, more than any other country in the world. They are the fourth leading cause of premature death in the country and are responsible for 2.4% of the burden of non-fatal health loss in the country. Interventions to curb speeding and drink driving are being implemented in the cities of Suzhou and Dalian since late 2010. We evaluated the ongoing effect of these activities through five roadside surveys, seven rounds of observational studies, and analysis of crash statistics in the two cities. We find that thus far, the prevalence of speeding has not reduced in either city with the notable exception of one site in Dalian, where the percentage of speeding vehicles declined from nearly 70% to below 10% after an interval-based speed enforcement system was installed. The broader deployment of such speed control technologies across China and other countries should be explored. Roadside alcohol testing suggests that prevalence of drink driving prevalence (i.e. BAC >20 mg%) declined from 6.4% to 0.5% in Suzhou and from 1.7% to 0.7% in Dalian during the monitored time period. However, the measured prevalence rates are very low and should be validated against estimates based on hospital studies. Roadside interviews suggest that the population of both cities is already highly sensitized to the risks associated with drink driving and speeding. Crash statistics from the two cities do not show appreciable declines in injuries and fatalities as yet. However, the possibility of substantial underreporting in crash statistics sourced from traffic police poses a severe threat to monitoring progress towards road safety in Suzhou, Dalian and across China. There is an urgent need for China to invest in a reliable road traffic injury surveillance system that can provide information for describing key risk factors, evaluating the impact of safety policies, and benchmarking achievements. © 2013 Elsevier Ltd."
"Ruedl G.; Pocecco E.; Sommersacher R.; Gatterer H.; Kopp M.; Nachbauer W.; Burtscher M.","Ruedl, G. (24512411000); Pocecco, E. (25654401700); Sommersacher, R. (24512408500); Gatterer, H. (24068722700); Kopp, M. (55838419300); Nachbauer, W. (6603886865); Burtscher, M. (24068774300)","24512411000; 25654401700; 24512408500; 24068722700; 55838419300; 6603886865; 24068774300","Factors associated with self-reported risk-taking behaviour on ski slopes","2010","British Journal of Sports Medicine","10.1136/bjsm.2009.066779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950126858&doi=10.1136%2fbjsm.2009.066779&partnerID=40&md5=b4754f0677c74121a6204989f50e08fb","Background In recent years, discussions have arisen about the potential infl uence of wearing a ski helmet on an increasing level of risk taking and higher speeds on ski slopes. Objective To evaluate factors associated with selfreported risk-taking behaviour in recreational skiers and snowboarders. Methods Speeds of skiers and snowboarders were measured with a radar speed gun and sex, age, nationality, height, weight and helmet use, used type of gear, self-estimated skill level and self-estimated fi tness level were recorded. In addition, participants were asked if they considered themselves as cautious or risk-taking skier or snowboarder. Results In total, 453 skiers (39.6 (14.8) years) and 74 snowboarders (26.4 (9.6) years) have been interviewed. A stepwise forward logistic regression model revealed fi ve independent factors for a risk-taking behaviour on slopes. Adjusted OR and their 95% CI showed that risk takers were <40 years (OR 2.4, 95% CI 1.51 to 3.80), had a higher skill level (OR 2.1, 95% CI 1.25 to 3.50), were more likely males (OR 2.0, 95% CI 1.22 to 3.26), had a lower body mass index (22.8 vs 24.2) and skied with higher speeds (on average 53 vs 45 km/h) compared to cautious skiers. Conclusion Risk-taking behaviour on ski slopes is associated with younger age, higher skiing ability, male sex, lower body mass index and on average higher speeds. Helmet use is not associated with riskier behaviour on slopes. In addition, helmet use has to be recommended because helmet use reduces the risk of head injuries among skiers and snowboarders."
